"species" "yearbirth" "littersizebirth" "littersizeweaning" "sexratiobirth" "sexratioweaning" "survlitter48h" "survlitterweaning" "survlittersexmat" "agedam" "agemaxdam" "agesire" "agemaxsire"
"206" "Vrubra" 2000 3 1 0.666666666666667 1 NA NA NA 9 20.6 8 17.69
"207" "Vrubra" 2001 2 2 0.5 0.5 1 1 1 23 27.72 7 21.75
"208" "Vrubra" 2002 1 1 0 0 1 1 1 8 21.74 6 19.69
"209" "Vrubra" 1985 2 2 1 1 1 1 1 7 15.76 11 18.72
"210" "Vrubra" 1996 2 0 1 0 1 0 0 7 18.28 8 19.31
"211" "Vrubra" 1979 1 1 0 0 1 1 1 18 35.79 4 20.13
"212" "Vrubra" 1987 2 2 0.5 0.5 1 1 1 7 28.74 5 33.6
"213" "Vrubra" 2003 3 3 0.333333333333333 0.333333333333333 1 1 1 6 18.77 5 17.64
"214" "Vrubra" 2011 2 2 1 1 1 1 1 6 10.56 12 16.64
"215" "Vrubra" 1997 2 0 0 NA 0 0 0 5 23.6 12 30.52
"216" "Vrubra" 2012 1 1 0 0 1 1 1 30 30.42 19 22.74
"217" "Vrubra" 2008 1 1 1 1 1 1 1 12 19.75 12 19.72
"218" "Vrubra" 1997 1 1 0 0 1 1 1 17 28.74 15 33.6
"219" "Vrubra" 2000 3 3 0.333333333333333 0.333333333333333 1 1 1 4 19.55 4 19.54
"220" "Vrubra" 2002 2 0 1 NA 0.5 0 0 8 14.64 9 15.42
"221" "Vrubra" 2006 2 2 0.5 0.5 1 1 1 9 18.75 9 18.77
"222" "Vrubra" 2005 2 0 0.5 NA 1 0 0 4 7.55 5 15.7
"223" "Vrubra" 2000 1 1 1 1 1 1 1 18 30.42 7 22.74
"224" "Vrubra" 1998 2 0 0 NA 0 0 0 10 21.75 12 19.02
"225" "Vrubra" 1999 2 2 0.5 0.5 1 1 1 10 26.74 11 27.75
"226" "Vrubra" 2004 2 0 1 NA 1 0 0 10 21.75 10 15.87
"227" "Vrubra" 2012 3 3 0.666666666666667 0.666666666666667 1 1 1 17 20.69 16 19.64
"228" "Vrubra" 2010 2 2 0.5 0.5 1 1 1 10 15.71 15 15.46
